run_id,trial,buffer_size,confidence_threshold,gamma,eps_clip,mean_fpr,mean_tpr,avg_delay,score
20250527_220924_B256_T0.60_G0.072_E1.80,0,256,0.6,0.07216878364870323,1.8,0.3555555555555555,0.76,132.40350877192984,1.098759649122807
20250527_220924_B256_T0.70_G0.072_E1.80,7,256,0.7,0.07216878364870323,1.8,0.12098765432098764,0.72,169.0,1.2782111111111112
20250527_220924_B512_T0.50_G0.072_E1.80,1,512,0.5,0.07216878364870323,1.8,0.34320987654320984,0.8533333333333334,113.140625,1.1771303819444445
20250527_220924_B256_T0.75_G0.072_E1.80,5,256,0.75,0.07216878364870323,1.8,0.07654320987654321,0.6666666666666666,194.58,1.2783197777777777
20250527_220924_B512_T0.60_G0.072_E1.80,10,512,0.6,0.07216878364870323,1.8,0.14814814814814814,0.8266666666666667,132.53225806451613,1.3320801075268818
20250527_220924_B512_T0.50_G0.072_E1.80,13,512,0.5,0.07216878364870323,1.8,0.36049382716049383,0.8533333333333334,113.140625,1.1615748263888892
20250527_220924_B256_T0.65_G0.072_E1.80,17,256,0.65,0.07216878364870323,1.8,0.21481481481481482,0.7466666666666667,144.75,1.2148583333333334
20250527_220924_B256_T0.70_G0.072_E1.80,18,256,0.7,0.07216878364870323,1.8,0.12962962962962962,0.72,169.0,1.2704333333333333
20250527_220924_B256_T0.65_G0.072_E1.80,19,256,0.65,0.07216878364870323,1.8,0.23580246913580247,0.7466666666666667,144.75,1.1959694444444444
20250527_220924_B256_T0.65_G0.072_E1.80,20,256,0.65,0.07216878364870323,1.8,0.20123456790123456,0.7466666666666667,144.75,1.2270805555555555
20250527_220924_B128_T0.65_G0.072_E1.80,22,128,0.65,0.07216878364870323,1.8,0.25925925925925924,0.5866666666666667,147.0,1.0626333333333333
20250527_220924_B256_T0.65_G0.072_E1.80,21,256,0.65,0.07216878364870323,1.8,0.21358024691358024,0.7466666666666667,144.75,1.2159694444444444
20250527_220924_B128_T0.65_G0.072_E1.80,23,128,0.65,0.07216878364870323,1.8,0.2864197530864197,0.5866666666666667,147.0,1.038188888888889
20250527_220924_B128_T0.65_G0.072_E1.80,24,128,0.65,0.07216878364870323,1.8,0.2876543209876543,0.5866666666666667,147.0,1.0370777777777778
20250527_220924_B128_T0.60_G0.072_E1.80,25,128,0.6,0.07216878364870323,1.8,0.419753086419753,0.6133333333333333,131.58695652173913,0.9383968599033818
20250527_220924_B128_T0.60_G0.072_E1.80,26,128,0.6,0.07216878364870323,1.8,0.4234567901234568,0.6133333333333333,131.58695652173913,0.9350635265700482
20250527_220924_B128_T0.60_G0.072_E1.80,27,128,0.6,0.07216878364870323,1.8,0.4506172839506173,0.6133333333333333,131.58695652173913,0.9106190821256039
20250527_220924_B128_T0.60_G0.072_E1.80,28,128,0.6,0.07216878364870323,1.8,0.44814814814814813,0.6133333333333333,131.58695652173913,0.9128413043478261
20250527_220924_B128_T0.75_G0.072_E1.80,29,128,0.75,0.07216878364870323,1.8,0.10493827160493828,0.5066666666666667,249.39473684210526,1.1352827485380117
20250527_220924_B256_T0.70_G0.072_E1.80,38,256,0.7,0.07216878364870323,1.8,0.1111111111111111,0.72,169.0,1.2871
20250527_220924_B256_T0.70_G0.072_E1.80,39,256,0.7,0.07216878364870323,1.8,0.13827160493827162,0.72,169.0,1.2626555555555556
